Order ID,Order Date,Customer ID,Customer Name,Product,Category,Sub-Category,Region,State,City,Quantity,Sales,Discount,Profit
ORD00001,2024-09-07,CUST1117,Customer 0179,Notebook,Office Supplies,Office Supplies - Notebook,East,Bihar,Gaya,4,591.92,0.02,161.67
ORD00002,2024-08-11,CUST1467,Customer 1331,Stapler,Office Supplies,Office Supplies - Stapler,East,West Bengal,Kolkata,4,1512.0,0.0,415.65
ORD00003,2025-08-26,CUST0327,Customer 1430,File Folder,Office Supplies,Office Supplies - File Folder,South,Karnataka,Mysuru,5,1335.0,0.0,388.09
ORD00004,2024-12-10,CUST1736,Customer 0705,Bookshelf,Furniture,Furniture - Bookshelf,North,Delhi,New Delhi,2,9382.3,0.15,987.37
ORD00005,2025-07-03,CUST1699,Customer 1288,Pen Set,Office Supplies,Office Supplies - Pen Set,East,Bihar,Gaya,2,574.28,0.02,151.13
ORD00006,2024-02-16,CUST1752,Customer 0477,Pen Set,Office Supplies,Office Supplies - Pen Set,West,Goa,Panaji,4,1782.0,0.1,452.3
ORD00007,2025-01-08,CUST0547,Customer 1438,Monitor,Technology,Technology - Monitor,North,Punjab,Jalandhar,3,55783.2,0.12,4505.08
ORD00008,2024-09-07,CUST1311,Customer 1410,Notebook,Office Supplies,Office Supplies - Notebook,West,Goa,Vasco,3,805.8,0.15,136.26
ORD00009,2024-02-02,CUST1162,Customer 1795,Printer Paper,Office Supplies,Office Supplies - Printer Paper,North,Delhi,New Delhi,6,2457.0,0.1,442.99
ORD00010,2025-02-09,CUST1526,Customer 1150,Pen Set,Office Supplies,Office Supplies - Pen Set,West,Goa,Margao,8,1245.6,0.1,231.89
ORD00011,2025-01-05,CUST1548,Customer 0097,Pen Set,Office Supplies,Office Supplies - Pen Set,South,Telangana,Warangal,4,510.0,0.25,67.31
ORD00012,2025-09-02,CUST0959,Customer 1084,Smartphone,Technology,Technology - Smartphone,West,Goa,Margao,2,68367.2,0.15,6506.58
ORD00013,2024-04-27,CUST0891,Customer 0324,Table,Furniture,Furniture - Table,East,Bihar,Muzaffarpur,5,77404.8,0.12,9514.92
ORD00014,2025-06-03,CUST1040,Customer 1248,Office Chair,Furniture,Furniture - Office Chair,North,Haryana,Gurugram,2,27439.2,0.1,5277.48
ORD00015,2025-06-27,CUST0230,Customer 0744,Smartphone,Technology,Technology - Smartphone,North,Delhi,Rohini,1,47741.76,0.12,4921.62
ORD00016,2024-03-21,CUST1091,Customer 1569,Desk,Furniture,Furniture - Desk,East,West Bengal,Siliguri,2,44931.04,0.02,11108.69
ORD00017,2024-09-28,CUST1413,Customer 0412,Smartphone,Technology,Technology - Smartphone,South,Telangana,Hyderabad,7,151620.0,0.25,8023.91
ORD00018,2025-01-17,CUST0461,Customer 0132,Pen Set,Office Supplies,Office Supplies - Pen Set,South,Telangana,Nizamabad,8,2329.6,0.2,302.1
ORD00019,2024-01-08,CUST0065,Customer 1761,Office Chair,Furniture,Furniture - Office Chair,West,Goa,Panaji,2,33194.0,0.0,6582.88
ORD00020,2025-05-12,CUST1170,Customer 1181,Office Chair,Furniture,Furniture - Office Chair,West,Gujarat,Vadodara,4,52569.2,0.05,11058.89
ORD00021,2024-04-06,CUST0957,Customer 1770,Desk,Furniture,Furniture - Desk,South,Tamil Nadu,Chennai,2,37178.24,0.12,5498.15
ORD00022,2024-12-13,CUST0919,Customer 0288,Notebook,Office Supplies,Office Supplies - Notebook,East,West Bengal,Durgapur,2,380.88,0.08,76.64
ORD00023,2024-03-18,CUST1108,Customer 1713,Desk,Furniture,Furniture - Desk,North,Punjab,Ludhiana,8,81664.0,0.0,18960.06
ORD00024,2025-05-12,CUST0338,Customer 0777,Laptop,Technology,Technology - Laptop,West,Maharashtra,Pune,8,401254.4,0.15,48028.32
ORD00025,2025-03-09,CUST0120,Customer 1187,Monitor,Technology,Technology - Monitor,North,Punjab,Amritsar,8,103569.92,0.08,11365.41
ORD00026,2024-02-28,CUST1747,Customer 1088,File Folder,Office Supplies,Office Supplies - File Folder,East,Bihar,Gaya,1,167.2,0.2,26.79
ORD00027,2025-09-01,CUST1167,Customer 0505,Laptop,Technology,Technology - Laptop,East,West Bengal,Kolkata,2,102703.8,0.15,5863.46
ORD00028,2025-03-05,CUST1467,Customer 0644,File Folder,Office Supplies,Office Supplies - File Folder,East,Bihar,Patna,6,1614.6,0.1,308.94
ORD00029,2025-10-22,CUST0149,Customer 0020,Tablet,Technology,Technology - Tablet,South,Karnataka,Mangaluru,5,118720.8,0.12,16421.64
ORD00030,2024-08-06,CUST0501,Customer 0757,Table,Furniture,Furniture - Table,East,West Bengal,Siliguri,5,31548.0,0.12,5819.63
ORD00031,2024-11-05,CUST0276,Customer 0542,Desk,Furniture,Furniture - Desk,South,Telangana,Nizamabad,1,16473.8,0.02,4021.49
ORD00032,2025-09-11,CUST1747,Customer 0541,Laptop,Technology,Technology - Laptop,West,Gujarat,Surat,4,248293.28,0.08,35009.3
ORD00033,2025-10-11,CUST0684,Customer 1580,Stapler,Office Supplies,Office Supplies - Stapler,North,Delhi,New Delhi,7,3427.2,0.1,611.85
ORD00034,2025-03-28,CUST1416,Customer 0306,Mouse,Technology,Technology - Mouse,North,Delhi,Rohini,7,3011.54,0.02,376.5
ORD00035,2024-05-31,CUST1631,Customer 1763,Notebook,Office Supplies,Office Supplies - Notebook,North,Haryana,Panipat,7,1015.0,0.0,258.48
ORD00036,2025-11-13,CUST0833,Customer 1272,Tablet,Technology,Technology - Tablet,West,Goa,Panaji,2,35383.5,0.25,2237.33
ORD00037,2025-02-26,CUST0844,Customer 1643,Printer Paper,Office Supplies,Office Supplies - Printer Paper,West,Maharashtra,Mumbai,1,300.08,0.12,68.0
ORD00038,2024-04-20,CUST0456,Customer 0409,Printer Paper,Office Supplies,Office Supplies - Printer Paper,North,Delhi,Rohini,7,4872.0,0.0,1455.21
ORD00039,2024-01-25,CUST0143,Customer 1584,Bookshelf,Furniture,Furniture - Bookshelf,North,Delhi,New Delhi,4,37058.56,0.12,5050.65
ORD00040,2024-12-05,CUST0544,Customer 0079,Bookshelf,Furniture,Furniture - Bookshelf,South,Telangana,Nizamabad,1,5300.1,0.1,738.23
ORD00041,2024-11-17,CUST1181,Customer 0390,Keyboard,Technology,Technology - Keyboard,South,Tamil Nadu,Madurai,7,16710.75,0.25,29.27
ORD00042,2025-07-05,CUST1361,Customer 0677,Office Chair,Furniture,Furniture - Office Chair,South,Karnataka,Mangaluru,4,37287.8,0.15,3844.29
ORD00043,2025-06-03,CUST1428,Customer 0606,Pen Set,Office Supplies,Office Supplies - Pen Set,East,Bihar,Gaya,5,1874.25,0.15,325.36
ORD00044,2025-01-23,CUST1708,Customer 0001,Printer Paper,Office Supplies,Office Supplies - Printer Paper,West,Gujarat,Vadodara,3,1525.5,0.1,316.52
ORD00045,2025-09-13,CUST0438,Customer 1047,Bookshelf,Furniture,Furniture - Bookshelf,West,Gujarat,Vadodara,6,55766.4,0.2,5876.26
ORD00046,2025-11-10,CUST0461,Customer 1652,Desk,Furniture,Furniture - Desk,East,Odisha,Rourkela,6,55531.2,0.08,10541.14
ORD00047,2025-05-01,CUST1179,Customer 0399,Smartphone,Technology,Technology - Smartphone,East,West Bengal,Kolkata,2,76238.2,0.15,9025.91
ORD00048,2024-05-31,CUST0449,Customer 0361,Stapler,Office Supplies,Office Supplies - Stapler,South,Tamil Nadu,Chennai,1,565.46,0.02,159.05
ORD00049,2024-09-12,CUST1368,Customer 1088,File Folder,Office Supplies,Office Supplies - File Folder,South,Karnataka,Mangaluru,2,334.4,0.05,89.16
ORD00050,2025-05-31,CUST0326,Customer 1524,File Folder,Office Supplies,Office Supplies - File Folder,North,Punjab,Jalandhar,7,1428.0,0.25,183.03
ORD00051,2024-10-10,CUST1462,Customer 0586,Cabinet,Furniture,Furniture - Cabinet,North,Delhi,Rohini,8,92440.8,0.1,14808.07
ORD00052,2024-03-23,CUST0313,Customer 1447,Tablet,Technology,Technology - Tablet,North,Punjab,Jalandhar,3,46759.92,0.08,5454.21
ORD00053,2025-07-09,CUST0861,Customer 0798,Laptop,Technology,Technology - Laptop,South,Tamil Nadu,Coimbatore,8,577984.0,0.0,84701.68
ORD00054,2024-12-26,CUST1505,Customer 1119,Notebook,Office Supplies,Office Supplies - Notebook,South,Tamil Nadu,Chennai,5,1185.75,0.15,225.95
